

This text file contains the default Key Bindings in Vanilla WoW   -   also named Keyboard Shortcuts or simply Hotkeys   -   This is the version without the Blizzard ID column



Command				Key 1				Key 2
Action Page 1			Shift + 1			Not Bound
Action Page 2			Shift + 2			Not Bound
Action Page 3			Shift + 3			Not Bound
Action Page 4			Shift + 4			Not Bound
Action Page 5			Shift + 5			Not Bound
Action Page 6			Shift + 6			Not Bound

Previous Action Bar		Shift + Up Arrow		Shift + Mouse Wheel Up
Next Action Bar			Shift + Down Arrow		Shift + Mouse Wheel Down
Toggle Action Bar Lock		Not Bound			Not Bound
Auto Self Cast			Not Bound			Not Bound


Targeting Functions

Target Nearest Enemy		Tab				Not Bound
Target Previous Enemy		Shift + Tab			Not Bound
Target Nearest Friend		Ctrl + Tab			Not Bound
Target Previous Friend		Ctrl + Shift + Tab		Not Bound

Target Self			"F1"				Not Bound
Target Party Member 1		"F2"				Not Bound
Target Party Member 2		"F3"				Not Bound
Target Party Member 3		"F4"				Not Bound
Target Party Member 4		"F5"				Not Bound

Target Pet			Shift + F1			Not Bound
Target Party Pet 1		Shift + F2			Not Bound
Target Party Pet 2		Shift + F3			Not Bound
Target Party Pet 3		Shift + F4			Not Bound
Target Party Pet 4		Shift + F5			Not Bound

Target Last Hostile		"G"				Not Bound
Assist Target			"F"				Not Bound
Show Name Plates		"V"				Not Bound
Show Friendly Name Plates	Shift + V			Not Bound
Show All Name Plates		Ctrl + V			Not Bound
Attack Target			"T"				Not Bound
Pet Attack			Shift + T			Not Bound


Interface Panel Functions

Toggle Character Pane		"C"				Not Bound
Toggle Backpack			"B"				"F12"
Toggle Bag 1			"F8"				Not Bound
Toggle Bag 2			"F9"				Not Bound
Toggle Bag 3			"F10"				Not Bound
Toggle Bag 4			"F11"				Not Bound
Open All Bags			Shift + B			Not Bound
Toggle Keyring			Not Bound			Not Bound
Toggle Spellbook		"P"				Not Bound
Toggle Pet Book			Shift + I			Not Bound
Toggle Talent Pane		"N"				Not Bound
Toggle Honor Pane		"H"				Not Bound
Toggle Pet Pane			Shift + P			Not Bound
Toggle Reputation Pane		"U"				Not Bound
Toggle Skill Pane		"K"				Not Bound
Toggle Quest Log		"L"				Not Bound
Toggle Game Menu		Escape				Not Bound
Toggle Minimap			Not Bound			Not Bound
Toggle World Map Pane		"M"				Not Bound
Toggle Social Pane		"O"				Not Bound
Toggle Friends Pane		Not Bound			Not Bound
Toggle Who Pane			Not Bound			Not Bound
Toggle Guild Pane		Not Bound			Not Bound
Toggle Raid Pane		Not Bound			Not Bound
Toggle Score Screen		Shift + Spacebar		Not Bound
Toggle Battle Map		Shift + M			Not Bound


Miscellaneous Functions

Minimap Zoom In			Num Pad +			Not Bound
Minimap Zoom Out		Num Pad -			Not Bound
Toggle Music			Ctrl + M			Not Bound
Toggle Sound			Ctrl + S			Not Bound
Master Volume Up		Ctrl + =			Not Bound
Master Volume Down		Ctrl + -			Not Bound
Toggle User Interface		Alt + Z				Not Bound
Toggle Framerate Display	Ctrl + R			Not Bound
Screen Shot			Print Screen			Not Bound


Camera Functions

Next View			End				Not Bound
Previous View			Home				Not Bound
Zoom In				Mouse Wheel Up			Not Bound
Zoom Out			Mouse Wheel Down		Not Bound

Set View 1			Not Bound			Not Bound
Set View 2			Not Bound			Not Bound
Set View 3			Not Bound			Not Bound
Set View 4			Not Bound			Not Bound
Set View 5			Not Bound			Not Bound

Save View 2			Not Bound			Not Bound
Save View 3			Not Bound			Not Bound
Save View 4			Not Bound			Not Bound
Save View 5			Not Bound			Not Bound

Save View 2			Not Bound			Not Bound
Save View 3			Not Bound			Not Bound
Save View 4			Not Bound			Not Bound
Save View 5			Not Bound			Not Bound

Reset View 2			Not Bound			Not Bound
Reset View 3			Not Bound			Not Bound
Reset View 4			Not Bound			Not Bound
Reset View 5			Not Bound			Not Bound
Flip Camera			Not Bound			Not Bound


MultiActionBar Bindings

BottomLeft Action Button 1	Not Bound			Not Bound
BottomLeft Action Button 2	Not Bound			Not Bound
BottomLeft Action Button 3	Not Bound			Not Bound
BottomLeft Action Button 4	Not Bound			Not Bound
BottomLeft Action Button 5	Not Bound			Not Bound
BottomLeft Action Button 6	Not Bound			Not Bound
BottomLeft Action Button 7	Not Bound			Not Bound
BottomLeft Action Button 8	Not Bound			Not Bound
BottomLeft Action Button 9	Not Bound			Not Bound
BottomLeft Action Button 10	Not Bound			Not Bound
BottomLeft Action Button 11	Not Bound			Not Bound
BottomLeft Action Button 12	Not Bound			Not Bound

BottomRight Action Button 1	Not Bound			Not Bound
BottomRight Action Button 2	Not Bound			Not Bound
BottomRight Action Button 3	Not Bound			Not Bound
BottomRight Action Button 4	Not Bound			Not Bound
BottomRight Action Button 5	Not Bound			Not Bound
BottomRight Action Button 6	Not Bound			Not Bound
BottomRight Action Button 7	Not Bound			Not Bound
BottomRight Action Button 8	Not Bound			Not Bound
BottomRight Action Button 9	Not Bound			Not Bound
BottomRight Action Button 10	Not Bound			Not Bound
BottomRight Action Button 11	Not Bound			Not Bound
BottomRight Action Button 12	Not Bound			Not Bound

Right Action Button 1		Not Bound			Not Bound
Right Action Button 2		Not Bound			Not Bound
Right Action Button 3		Not Bound			Not Bound
Right Action Button 4		Not Bound			Not Bound
Right Action Button 5		Not Bound			Not Bound
Right Action Button 6		Not Bound			Not Bound
Right Action Button 7		Not Bound			Not Bound
Right Action Button 8		Not Bound			Not Bound
Right Action Button 9		Not Bound			Not Bound
Right Action Button 10		Not Bound			Not Bound
Right Action Button 11		Not Bound			Not Bound
Right Action Button 12		Not Bound			Not Bound

Right ActionBar 2 Button 1	Not Bound			Not Bound
Right ActionBar 2 Button 2	Not Bound			Not Bound
Right ActionBar 2 Button 3	Not Bound			Not Bound
Right ActionBar 2 Button 4	Not Bound			Not Bound
Right ActionBar 2 Button 5	Not Bound			Not Bound
Right ActionBar 2 Button 6	Not Bound			Not Bound
Right ActionBar 2 Button 7	Not Bound			Not Bound
Right ActionBar 2 Button 8	Not Bound			Not Bound
Right ActionBar 2 Button 9	Not Bound			Not Bound
Right ActionBar 2 Button 10	Not Bound			Not Bound
Right ActionBar 2 Button 11	Not Bound			Not Bound
Right ActionBar 2 Button 12	Not Bound			Not Bound


Raid Targeting

Assign Star to Target		Not Bound			Not Bound
Assign Circle to Target		Not Bound			Not Bound
Assign Diamond to Target	Not Bound			Not Bound
Assign Triangle to Target	Not Bound			Not Bound
Assign Moon to Target		Not Bound			Not Bound
Assign Square to Target		Not Bound			Not Bound
Assign Cross to Target		Not Bound			Not Bound
Assign Skull to Target		Not Bound			Not Bound
Clear raid target icon		Not Bound			Not Bound







