

This text file contains the default Key Bindings in Vanilla WoW   -   also named Keyboard Shortcuts or simply Hotkeys   -   This is the version that is sorted by hotkey



		Key		Command				Blizzard ID
	Shift + 4		Action Page 4			ACTIONPAGE4
	Shift + 5		Action Page 5			ACTIONPAGE5
	Shift + 6		Action Page 6			ACTIONPAGE6

	Shift + B		Open All Bags			OPENALLBAGS
	Shift + C		Toggle Combat Log		TOGGLECOMBATLOG
	Shift + I		Toggle Pet Book			TOGGLEPETBOOK
	Shift + M		Toggle Battle Map		TOGGLEBATTLEFIELDMINIMAP
	Shift + P		Toggle Pet Pane			TOGGLECHARACTER3
	Shift + R		Re-Whisper			REPLY2
	Shift + T		Pet Attack			PETATTACK
	Shift + V		Show Friendly Name Plates	FRIENDNAMEPLATES

	Shift + F1		Target Pet			TARGETPET
	Shift + F2		Target Party Pet 1		TARGETPARTYPET1
	Shift + F3		Target Party Pet 2		TARGETPARTYPET2
	Shift + F4		Target Party Pet 3		TARGETPARTYPET3
	Shift + F5		Target Party Pet 4		TARGETPARTYPET4

	Shift + Spacebar	Toggle Score Screen		TOGGLEWORLDSTATESCORES
	Shift + Tab		Target Previous Enemy		TARGETPREVIOUSENEMY
	Shift + Up Arrow	Previous Action Bar		PREVIOUSACTIONPAGE
	Shift + Down Arrow	Next Action Bar			NEXTACTIONPAGE
	Shift + Page Down	Chat Bottom			CHATBOTTOM

	Middle Mouse		Move and Steer			MOVEANDSTEER
	Mouse Wheel Down	Zoom Out			CAMERAZOOMOUT
	Mouse Wheel Up		Zoom In				CAMERAZOOMIN
	Mouse Button 4		Toggle Autorun			TOGGLEAUTORUN

Shift + Mouse Wheel Down	Next Action Bar			NEXTACTIONPAGE
Shift + Mouse Wheel Up		Previous Action Bar		PREVIOUSACTIONPAGE







