

This text file contains the default Key Bindings in Vanilla WoW   -   also named Keyboard Shortcuts or simply Hotkeys   -   This is the one column version



Command				Key 1
Target Party Pet 2		Shift + F3
Target Party Pet 3		Shift + F4
Target Party Pet 4		Shift + F5

Target Last Hostile		"G"
Assist Target			"F"
Show Name Plates		"V"
Show Friendly Name Plates	Shift + V
Show All Name Plates		Ctrl + V
Attack Target			"T"
Pet Attack			Shift + T


Interface Panel Functions

Toggle Character Pane		"C"
Toggle Backpack			"B"
Toggle Backpack			"F12"
Toggle Bag 1			"F8"
Toggle Bag 2			"F9"
Toggle Bag 3			"F10"
Toggle Bag 4			"F11"
Open All Bags			Shift + B
Toggle Keyring			Not Bound
Toggle Spellbook		"P"
Toggle Pet Book			Shift + I
Toggle Talent Pane		"N"
Toggle Honor Pane		"H"
Toggle Pet Pane			Shift + P
Toggle Reputation Pane		"U"
Toggle Skill Pane		"K"
Toggle Quest Log		"L"
Toggle Game Menu		Escape
Toggle Minimap			Not Bound
Toggle World Map Pane		"M"
Toggle Social Pane		"O"
Toggle Friends Pane		Not Bound
Toggle Who Pane			Not Bound
Toggle Guild Pane		Not Bound
Toggle Raid Pane		Not Bound
Toggle Score Screen		Shift + Spacebar
Toggle Battle Map		Shift + M


Miscellaneous Functions

Minimap Zoom In			Num Pad +
Minimap Zoom Out		Num Pad -
Toggle Music			Ctrl + M
Toggle Sound			Ctrl + S
Master Volume Up		Ctrl + =
Master Volume Down		Ctrl + -
Toggle User Interface		Alt + Z
Toggle Framerate Display	Ctrl + R
Screen Shot			Print Screen


Camera Functions

Next View			End
Previous View			Home
Zoom In				Mouse Wheel Up
Zoom Out			Mouse Wheel Down

Set View 1			Not Bound
Set View 2			Not Bound
Set View 3			Not Bound
Set View 4			Not Bound
Set View 5			Not Bound

Save View 2			Not Bound
Save View 3			Not Bound
Save View 4			Not Bound
Save View 5			Not Bound

Save View 2			Not Bound
Save View 3			Not Bound
Save View 4			Not Bound
Save View 5			Not Bound

Reset View 2			Not Bound
Reset View 3			Not Bound
Reset View 4			Not Bound
Reset View 5			Not Bound
Flip Camera			Not Bound


MultiActionBar Bindings

BottomLeft Action Button 1	Not Bound
BottomLeft Action Button 2	Not Bound
BottomLeft Action Button 3	Not Bound
BottomLeft Action Button 4	Not Bound
BottomLeft Action Button 5	Not Bound
BottomLeft Action Button 6	Not Bound
BottomLeft Action Button 7	Not Bound
BottomLeft Action Button 8	Not Bound
BottomLeft Action Button 9	Not Bound
BottomLeft Action Button 10	Not Bound
BottomLeft Action Button 11	Not Bound
BottomLeft Action Button 12	Not Bound

BottomRight Action Button 1	Not Bound
BottomRight Action Button 2	Not Bound
BottomRight Action Button 3	Not Bound
BottomRight Action Button 4	Not Bound
BottomRight Action Button 5	Not Bound
BottomRight Action Button 6	Not Bound
BottomRight Action Button 7	Not Bound
BottomRight Action Button 8	Not Bound
BottomRight Action Button 9	Not Bound
BottomRight Action Button 10	Not Bound
BottomRight Action Button 11	Not Bound
BottomRight Action Button 12	Not Bound

Right Action Button 1		Not Bound
Right Action Button 2		Not Bound
Right Action Button 3		Not Bound
Right Action Button 4		Not Bound
Right Action Button 5		Not Bound
Right Action Button 6		Not Bound
Right Action Button 7		Not Bound
Right Action Button 8		Not Bound
Right Action Button 9		Not Bound
Right Action Button 10		Not Bound
Right Action Button 11		Not Bound
Right Action Button 12		Not Bound

Right ActionBar 2 Button 1	Not Bound
Right ActionBar 2 Button 2	Not Bound
Right ActionBar 2 Button 3	Not Bound
Right ActionBar 2 Button 4	Not Bound
Right ActionBar 2 Button 5	Not Bound
Right ActionBar 2 Button 6	Not Bound
Right ActionBar 2 Button 7	Not Bound
Right ActionBar 2 Button 8	Not Bound
Right ActionBar 2 Button 9	Not Bound
Right ActionBar 2 Button 10	Not Bound
Right ActionBar 2 Button 11	Not Bound
Right ActionBar 2 Button 12	Not Bound


Raid Targeting

Assign Star to Target		Not Bound
Assign Circle to Target		Not Bound
Assign Diamond to Target	Not Bound
Assign Triangle to Target	Not Bound
Assign Moon to Target		Not Bound
Assign Square to Target		Not Bound
Assign Cross to Target		Not Bound
Assign Skull to Target		Not Bound
Clear raid target icon		Not Bound







